Rod_Length,Young_Modulus,Density,Damping_Coefficient,Boundary_Condition,Adhesive_Type,Total_Energy,Contact_Stress
0.646508171,49477146868.0,6073.367401,0.139412392,fixed-fixed,Silicone,2633567.242,103053153.11853255
1.52634954,90114321621.0,1457.494386,0.044473286,fixed-free,Acrylic,47185842.46,273099681.5435655
1.160228741,25840591436.0,3207.032365,0.109781043,fixed-fixed,Acrylic,4674355.812,34857000.35616884
0.683057352,191000000000.0,4776.439047,0.14471879,free-free,Epoxy,13643354.67,339191846.8293147
1.242765365,121000000000.0,6535.062154,0.030306615,free-free,Acrylic,11527960.78,172750529.6750637
0.551582782,45736274673.0,3231.267521,0.117789322,fixed-free,Epoxy,3903603.002,90589621.76991455
1.863980603,,5381.239635,0.058746929,fixed-fixed,Acrylic,23267309.41,
0.888169972,124000000000.0,7201.844238,0.192956106,fixed-fixed,Polyurethane,7623376.217,342552772.82881457
1.493783427,71638961979.0,5311.042317,0.101873673,free-free,Epoxy,10074545.16,212812251.7103156
0.967566614,22720382864.0,2630.716323,0.163138584,free-free,Epoxy,4178518.192,55796560.62763194
1.280102032,134000000000.0,1170.805471,0.114543043,fixed-fixed,Polyurethane,73428439.95,616436827.5696359
1.320065419,104000000000.0,7090.692117,0.018248381,fixed-fixed,Epoxy,9686929.477,132705386.70022833
0.777281683,154000000000.0,1148.885876,0.130298761,fixed-fixed,Acrylic,52252346.98,650569038.033863
1.954376942,104000000000.0,7122.911709,0.190766635,fixed-fixed,Acrylic,14273002.81,429994421.1618797
1.662699235,170000000000.0,4702.559938,0.124306246,fixed-fixed,Epoxy,30131451.21,290943043.66238374
1.909248412,110000000000.0,7573.47389,0.165645883,fixed-fixed,Acrylic,13914097.06,
1.842241026,112000000000.0,6591.48265,0.177999228,fixed-free,Silicone,15678377.38,449253621.6745381
1.396849968,175000000000.0,7985.538774,0.053335157,fixed-fixed,Epoxy,15334897.46,486963057.6705389
1.882811353,80702538414.0,3454.982708,0.05028852,free-free,Polyurethane,21989850.97,264386975.9390038
0.632738753,26811705538.0,6370.318023,0.126086388,fixed-free,Silicone,1331602.763,39244475.99990281
unknown,5766247436.0,3813.516395,0.088095409,fixed-fixed,Epoxy,600312.7917,19524404.403583914
0.567840933,151000000000.0,4359.129342,0.169573648,free-free,Polyurethane,9837233.76,595106477.3244427
0.987995496,124000000000.0,5392.538243,0.181004393,fixed-free,Acrylic,11365629.69,515225426.490109
1.083015935,141000000000.0,7115.739799,0.077150062,free-free,Polyurethane,10716507.25,220897815.59269366
0.907023548,42600702660.0,7888.584284,0.055005406,fixed-fixed,Silicone,2449016.669,105112179.3160554
1.743106264,27282931403.0,6377.913897,0.158299848,fixed-fixed,Acrylic,3728573.571,59148680.45776363
1.03512999,2918787687.0,3924.367475,0.062213147,fixed-fixed,Epoxy,384930.2297,4005270.337349377
0.921401765,70124005886.0,3949.499016,0.166296721,fixed-fixed,Acrylic,8180005.591,120171647.71302953
1.314044125,118000000000.0,6163.076111,0.090510268,fixed-free,Epoxy,12578288.23,408129238.5358854
0.711386337,78454886579.0,2671.44002,0.136834481,fixed-free,Epoxy,10446050.73,381890207.37048846
1.703295471,87500609656.0,1773.318792,0.02815171,free-free,Polyurethane,42022616.25,365569142.5669186
0.611825966,181000000000.0,3482.355103,0.128533272,fixed-fixed,Polyurethane,15885487.94,207408146.8376543
1.980330405,69657610850.0,3010.672942,0.095835859,free-free,Polyurethane,22909451.75,97380974.18539608
1.658367154,103000000000.0,3074.156843,0.121455608,fixed-free,Silicone,27728664.18,381649923.5592151
0.798073522,157000000000.0,2635.254257,0.041922699,fixed-fixed,Silicone,23732794.13,270224734.7094499
0.508283176,79314591036.0,1294.652327,0.150006012,fixed-fixed,Polyurethane,15569664.15,280869362.4623477
1.723192143,124000000000.0,1125.117543,,fixed-free,Silicone,95279507.44,175658195.87547782
1.560286016,172000000000.0,7914.056728,0.051180562,fixed-free,Acrylic,17002089.23,435766240.29814774
unknown,190000000000.0,3994.411936,0.028185766,fixed-free,Acrylic,37879589.42,350034395.5512076
1.65690552,29423225451.0,3690.28653,0.014491331,fixed-free,Silicone,6605388.767,84558657.65638204
0.611066978,185000000000.0,5757.530979,0.131974585,fixed-free,Silicone,9834372.21,629150822.2165772
1.037698593,98428337453.0,2527.777215,0.125347867,fixed-fixed,Acrylic,20203491.82,305680583.389133
0.673803589,,7649.728288,0.113872508,fixed-free,Epoxy,2275105.349,
1.794655139,91832559890.0,6504.415101,0.054069948,fixed-fixed,Acrylic,12669171.72,289748576.4763267
unknown,196000000000.0,1625.877016,0.084272139,fixed-fixed,Acrylic,86494742.35,726732008.298512
0.996347037,98528692618.0,3923.06543,0.122950504,fixed-free,Silicone,12511971.04,408093995.27046645
0.595337525,65757034541.0,7153.828153,0.104385703,fixed-free,Acrylic,2736163.613,
0.966473483,127000000000.0,7613.124156,0.197679249,fixed-fixed,Silicone,8041361.214,632459296.5683501
0.987774983,48036722299.0,4271.810579,0.035923553,fixed-free,Silicone,5553980.06,182143845.65813717
1.594409268,15181906988.0,5293.879724,0.142077465,fixed-free,Polyurethane,2286359.63,55571222.333063506
1.456336207,25784655585.0,2169.237623,0.086820566,fixed-free,Acrylic,8655480.391,
1.830819114,25617887333.0,7938.180383,,free-free,Epoxy,2954375.13,71693081.09648761
1.208322388,30389019676.0,2621.70191,0.146343575,fixed-fixed,Polyurethane,7003105.635,118130777.25333752
0.679391369,27774046258.0,7599.122419,0.141562869,free-free,Silicone,1241479.776,48414764.78514618
1.569867181,128000000000.0,5547.526543,0.198338639,fixed-free,Silicone,18136530.38,521212182.44474554
1.641177573,36384198079.0,5254.157564,0.034394915,free-free,Epoxy,5682578.93,60141306.95451154
1.341915796,69139999992.0,4588.819577,0.029780833,fixed-free,Silicone,10109254.61,123290411.11315183
1.65645077,179000000000.0,2614.688682,0.147624375,free-free,Acrylic,56813647.34,365990190.0977099
1.240693395,94797588436.0,2235.696224,0.119893514,fixed-free,Polyurethane,26304016.35,368057319.9119177
1.284099244,134000000000.0,2543.403463,0.062090527,free-free,Silicone,33703953.68,292498388.1708285
1.141311528,34472251042.0,2305.067835,0.02508968,free-free,Silicone,8534078.857,52159921.46236082
0.53812869,38465880872.0,6457.091315,0.026275067,free-free,Epoxy,1602844.159,56497367.32836761
,8183314567.0,3450.876814,0.179896266,fixed-fixed,Acrylic,784893.1469,35494982.46109533
0.547143779,33795323264.0,1404.898736,0.046454792,free-free,Silicone,6580838.172,159151161.90287682
1.454615617,55725281903.0,7783.718411,0.071440597,fixed-fixed,Epoxy,5206941.743,181277686.86805102
0.971533972,35410326751.0,7186.501195,0.053064716,fixed-free,Silicone,2393758.766,84649518.85284926
unknown,17749619726.0,7494.265982,,free-free,Epoxy,1495557.676,56460146.327699
1.861349711,24135967861.0,7964.354759,0.02319053,fixed-free,Epoxy,2820362.753,87599986.49657504
0.873938344,92161145819.0,2217.266745,0.10862136,fixed-free,Acrylic,18162817.44,186216951.97554427
1.115574385,,3773.694132,0.022846387,free-free,Silicone,6100859.288,
1.633326708,72860329511.0,6307.66933,0.162067736,fixed-fixed,Acrylic,9433502.724,128669135.85517521
0.843197248,101000000000.0,5872.144326,0.054405296,free-free,Epoxy,7229096.489,450632666.9988564
0.615469865,138000000000.0,2077.271344,0.112602264,fixed-free,Polyurethane,20456052.95,571223569.2584908
0.934627179,7872034847.0,6710.831875,0.177215027,fixed-free,Silicone,548285.7924,11406731.82806091
0.741831931,160000000000.0,2571.084003,0.1336667,free-free,Polyurethane,23065660.11,231435006.7513554
1.894546479,126000000000.0,2566.723304,0.111261979,fixed-fixed,Silicone,46348020.4,353398917.23515046
1.712180569,16360988799.0,4758.82096,0.071623413,fixed-fixed,Acrylic,2943239.802,63318409.83258349
1.450105635,175000000000.0,5150.579544,0.073270363,fixed-free,Acrylic,24595217.64,335320281.6642221
1.807190885,,5060.603455,0.137202521,fixed-free,Acrylic,32885671.92,
1.705508115,12224981191.0,1640.407862,0.198886479,fixed-fixed,Acrylic,6355298.691,48539520.49193005
0.779855088,55382760853.0,7142.226038,0.135749446,free-free,Acrylic,3023702.886,275649960.44832134
1.838838498,161000000000.0,2859.200298,,fixed-free,Polyurethane,51849860.56,740281832.6197017
1.309013363,150000000000.0,1906.604449,0.148823597,fixed-fixed,Acrylic,51374277.02,453274749.66406554
1.711160233,36912358661.0,7221.236559,0.098389066,fixed-free,Epoxy,4373398.574,130952975.07711488
1.84413695,41877771174.0,7689.560488,0.021427045,free-free,Epoxy,5021742.125,150166011.32222128
0.977005212,74100715837.0,7034.893321,,fixed-fixed,Polyurethane,5145730.323,212650213.82212275
0.665077887,96909751808.0,6666.612523,0.191948804,fixed-free,Silicone,4834147.495,127082651.20939289
0.841902744,124000000000.0,5586.693864,0.043307559,free-free,Epoxy,9317271.004,421296522.2212023
1.140661683,73789038778.0,4856.001594,0.141100929,fixed-free,Silicone,8666380.65,85742056.33095893
1.727022149,92512317879.0,1608.907319,0.048177401,free-free,Polyurethane,49652046.56,389006390.9221615
1.791095875,149000000000.0,3859.172491,0.11180726,free-free,Silicone,34691930.35,509615274.71840996
0.510428196,7346273746.0,3608.819619,0.028368525,fixed-fixed,Silicone,519444.6293,31325719.035795964
1.266120954,50494864499.0,2818.276486,0.095570478,free-free,Silicone,11342580.64,218973260.16319942
1.126116505,143000000000.0,6063.940796,0.153671032,fixed-free,Silicone,13247827.71,664916269.9251252
0.833161716,179000000000.0,4471.130146,0.07603859,free-free,Polyurethane,16681743.05,696993219.5930227
0.679798051,102000000000.0,1567.323511,0.136333228,free-free,Epoxy,22194273.48,465774570.0520003
1.006422757,106000000000.0,2541.282414,0.161135493,fixed-fixed,Acrylic,21074187.68,187647196.4866934
1.914364556,21443330548.0,5782.811346,0.186163786,free-free,Silicone,3549475.301,49521025.12766874
0.984804398,89487999241.0,1532.916016,0.054581996,free-free,Epoxy,28745348.7,162191785.94591045
1.278185933,107000000000.0,6958.448398,0.085870024,fixed-free,Epoxy,9784158.171,380862518.4372468
1.554528438,48501676022.0,4466.025689,0.038959043,fixed-fixed,Polyurethane,8441177.466,82830722.98047851
1.045444404,53855953758.0,4364.106041,0.198571865,fixed-fixed,Epoxy,6451154.875,116824885.96173415
1.957673124,75463059779.0,5146.854493,0.186130184,fixed-fixed,Polyurethane,14351675.36,249934769.44122332
1.943670942,4024038844.0,6772.766761,0.112591855,free-free,Silicone,577472.1905,9064039.56942742
0.877673444,64422612325.0,3434.664455,0.169986326,fixed-fixed,Silicone,8231244.6,73533073.84577826
,42297486919.0,5746.113068,0.108982016,free-free,Acrylic,4585561.383,210658695.5875489
0.951317465,65506195462.0,4960.123748,0.128481281,free-free,Acrylic,6281823.104,262784589.76978847
0.927260742,23961228743.0,2869.197891,,fixed-free,Acrylic,3871938.962,110119675.5497791
0.555330421,178000000000.0,7150.409904,0.15350138,fixed-free,Epoxy,6916436.467,702192330.3574328
1.414346501,119000000000.0,6581.982151,0.034265562,fixed-free,Silicone,12755682.11,523858452.4821755
1.254018535,136000000000.0,5609.162843,0.16695285,fixed-free,Polyurethane,15182982.99,624486253.0551829
0.577218127,158000000000.0,6954.072104,0.158585337,fixed-free,Acrylic,6550667.042,204945681.9692303
0.917969696,99693455364.0,7071.059407,0.144661493,free-free,Polyurethane,6471118.688,181358415.9757658
1.862398829,17393188415.0,5958.540837,0.016870472,free-free,Polyurethane,2718148.754,24059350.867416747
0.859342836,107000000000.0,6859.093299,0.067594388,fixed-fixed,Acrylic,6729522.999,369164484.89920765
0.717342308,117000000000.0,5882.300232,0.059991388,free-free,Silicone,7156813.658,363354732.13745046
1.23417914,149000000000.0,5760.985402,0.078425917,free-free,Acrylic,15969946.96,338332608.22019196
1.978475681,86337592650.0,5330.279648,0.026652122,fixed-free,Polyurethane,16023333.44,133975133.5236343
0.863082907,25524784756.0,6269.016477,0.188021986,free-free,Acrylic,1757184.262,93321957.88390619
1.508203321,56762343401.0,2110.235737,0.115222426,fixed-free,Polyurethane,20284381.14,193068312.58741665
1.642429423,72622828457.0,7166.095314,0.068049619,fixed-fixed,Polyurethane,8322500.614,119050524.90193282
0.856456316,129000000000.0,7102.904694,0.085426488,fixed-fixed,Acrylic,7788651.99,401079927.67825663
1.592324523,114000000000.0,1204.730981,0.094968483,free-free,Epoxy,75444071.54,161453205.7971361
1.051674699,71225784212.0,6780.717254,0.124112923,fixed-fixed,Acrylic,5523511.12,295087323.36013883
1.448458746,197000000000.0,1902.089072,0.107979091,free-free,Epoxy,75124307.49,974888769.5643781
1.450294566,121000000000.0,3345.83198,0.184684475,fixed-fixed,Polyurethane,26259278.91,293854260.4284308
1.303662026,47452986079.0,6204.557794,0.104423062,fixed-free,Polyurethane,4985481.009,233841734.29716298
0.635434655,20365476699.0,2125.319272,0.198510023,fixed-free,Epoxy,3044688.919,83473801.9723071
1.752953743,30580299245.0,6725.769169,0.171770742,fixed-free,Polyurethane,3985160.715,124060824.6912028
0.981170097,49199086100.0,6824.939246,0.049616998,fixed-free,Epoxy,3536539.952,187767847.46256444
0.779777766,32144667838.0,4552.274136,0.186813091,free-free,Epoxy,2753439.234,122305503.50455908
0.561162712,37321539140.0,1044.701102,0.032109616,fixed-fixed,Polyurethane,10023753.31,65065858.83781179
1.386339415,57026182787.0,3009.266932,0.165315445,free-free,Silicone,13135842.79,230040011.02237555
1.516346543,34682985323.0,5318.488429,0.082318426,fixed-free,Epoxy,4944353.06,160679219.9642108
0.524881743,179000000000.0,7868.303246,0.176815121,free-free,Acrylic,5982260.95,526296518.36711013
1.268139587,16055946795.0,5422.694689,0.174930771,fixed-fixed,Acrylic,1877509.761,39004312.98636962
0.839743663,105000000000.0,2818.625067,0.163125826,free-free,Polyurethane,15627357.66,376213852.13885593
1.467759186,82085261430.0,5438.039922,0.160105783,fixed-fixed,Silicone,11077856.18,397265237.94657516
0.761549644,196000000000.0,4779.897658,0.067889036,free-free,Polyurethane,15651745.43,828872314.679762
1.536406607,22416660045.0,6458.917766,0.025374664,fixed-fixed,Silicone,2666176.817,74354128.79474692
1.080103019,79577141253.0,1748.864472,0.086566234,fixed-fixed,Epoxy,24573518.67,370670496.77438724
1.905094983,194000000000.0,6327.195318,0.042969658,fixed-free,Epoxy,29190481.17,690137657.090419
0.706281416,173000000000.0,4788.866051,0.142040707,fixed-fixed,Epoxy,12765043.17,461874634.19028133
1.011599527,163000000000.0,7740.944027,0.075758948,fixed-free,Epoxy,10677750.29,708694001.667661
0.670210282,51587986381.0,3393.105162,,fixed-free,Acrylic,5095090.335,93455845.73043273
1.887040427,34185808602.0,5428.353252,0.131784695,fixed-free,Acrylic,5942005.575,135458181.01160902
1.81600903,134000000000.0,7524.196739,0.166271307,free-free,Polyurethane,16138505.92,651172478.0740727
0.886912442,186000000000.0,1717.568096,0.035179688,free-free,Silicone,47990909.49,636106744.4056892
1.489976069,111000000000.0,7560.599411,0.173782752,free-free,Epoxy,10972640.91,456651206.9881054
1.7258333,114000000000.0,5815.200056,0.185323866,free-free,Epoxy,16965149.71,246784145.97917566
1.332801217,56003018941.0,1474.859414,0.102541765,fixed-fixed,Silicone,25304526.47,98031746.41773768
1.294475868,154000000000.0,3106.744969,0.125188058,fixed-fixed,Silicone,32062791.12,645983288.0134165
0.862778436,37416879274.0,5957.204621,0.155313862,free-free,Polyurethane,2709746.376,181153870.15906417
0.639654152,64742610488.0,1471.45421,0.043219339,fixed-fixed,Silicone,14072254.85,122998159.62503414
1.845823637,85093033359.0,5075.193221,0.105487555,fixed-fixed,Epoxy,15474012.0,420418612.8969892
1.850627086,102000000000.0,,0.085745975,fixed-free,Epoxy,27459736.54,150213605.4626526
1.449652186,48489522386.0,5346.408624,0.037811059,fixed-free,Epoxy,6573726.606,234804678.78798518
1.008544687,22976216580.0,1320.194237,0.07983154,fixed-free,Epoxy,8776403.937,95967297.35768357
1.023814362,122000000000.0,7100.757643,0.022952739,fixed-free,Epoxy,8804332.198,256345918.7432265
1.588933518,57733224343.0,7814.422784,0.014904262,fixed-fixed,Polyurethane,5869491.635,163424566.7538994
1.84566539,116000000000.0,7782.144987,0.035681595,free-free,Epoxy,13785505.65,211720048.61264738
1.830629636,30880999428.0,6247.562822,0.192991871,fixed-fixed,Polyurethane,4524338.421,153649276.70670128
1.669813319,96233208970.0,1910.603681,0.114410612,fixed-fixed,Epoxy,42052662.32,342977994.09414154
1.463047469,107000000000.0,6307.842372,0.193506211,fixed-fixed,Acrylic,12353691.2,478509695.6723763
0.626209947,10374189129.0,1172.108415,0.092174597,fixed-free,Acrylic,2771327.279,39678611.1626795
0.742443071,67327489596.0,1154.864861,0.069245065,fixed-free,Acrylic,21641766.75,192420643.4165269
1.847831283,26891591241.0,3265.271534,0.106166954,fixed-free,Acrylic,7609338.374,65363096.53261952
1.409643589,12684360345.0,4420.502333,0.093507221,free-free,Polyurethane,2022591.341,38709173.92993437
0.513795577,198000000000.0,6392.851925,0.03007629,fixed-fixed,Polyurethane,7956639.936,456499852.49846494
0.652207314,64477545456.0,5783.067636,,free-free,Silicone,3635900.706,160106773.21314055
1.495252654,162000000000.0,4121.318945,0.051047255,fixed-free,Epoxy,29383486.05,393469666.233126
0.507592376,50935584546.0,2915.386664,0.127721711,free-free,Acrylic,4434354.059,229502410.46927246
0.741212077,136000000000.0,7979.871501,0.133538208,fixed-fixed,Polyurethane,6330405.054,259680905.6001173
1.323100684,152000000000.0,3983.269116,0.038884722,fixed-fixed,Epoxy,25252650.56,742559690.4625447
1.537842797,119000000000.0,4159.70917,0.021656429,fixed-free,Epoxy,22021468.65,321758730.1916277
1.477941889,94320521948.0,2145.366748,0.158344701,fixed-free,Polyurethane,32488798.11,406486797.90770656
0.836403964,82374064420.0,6563.666841,0.097362081,free-free,Acrylic,5248187.989,200077205.16108975
1.568268832,69780164626.0,5855.77558,0.021051121,fixed-free,Silicone,9344174.923,225813447.46539232
0.855873631,186000000000.0,2545.38729,0.1990246,fixed-free,Epoxy,31255133.23,795188829.7108843
0.988099547,166000000000.0,1576.667319,0.020978307,fixed-fixed,Silicone,52055527.26,232236631.79297504
1.619737108,193000000000.0,5763.495115,0.142056693,fixed-free,Acrylic,27120609.43,758336330.9696429
1.474449349,24868201725.0,5581.5785,0.196898996,fixed-free,Acrylic,3284795.954,32200746.767601453
1.773835116,146000000000.0,2912.816689,0.05544422,fixed-fixed,Silicone,44508985.78,437702890.1935464
1.486419338,188000000000.0,7656.044936,0.03702738,fixed-fixed,Acrylic,18217956.06,393370163.92795706
1.352462905,36254800902.0,2057.405242,0.033063138,free-free,Epoxy,11916393.56,141288090.8594574
0.640512152,13308588511.0,4026.343607,0.067622278,fixed-free,Silicone,1058761.644,64196111.08451465
1.051573705,148000000000.0,7605.311441,0.029198704,fixed-fixed,Acrylic,10247522.66,510506536.650449
0.897803552,115000000000.0,3938.091218,0.141510655,free-free,Silicone,13097380.47,228891899.37470475
0.865984465,168000000000.0,5469.681634,0.021835442,free-free,Epoxy,13328452.58,300623643.6251882
1.959515832,27963077601.0,3783.160786,0.106790204,fixed-free,Acrylic,7242050.881,136034277.62577584
1.089646587,159000000000.0,2919.506416,0.199372402,fixed-free,Epoxy,29682395.68,445452653.63973373
1.838069833,40333447736.0,7887.843536,0.164654351,free-free,Acrylic,4699433.281,57533671.094530284
1.446707939,32739552014.0,3865.338044,0.126891693,fixed-fixed,Polyurethane,6127003.234,147517555.44304368
1.692216955,32861516928.0,7258.694426,0.068188188,free-free,Acrylic,3830576.246,80713163.38880014
1.25395564,163000000000.0,2609.682241,0.128540209,fixed-free,Silicone,39141098.15,415431098.7409862
1.365355827,133000000000.0,2491.732928,0.110137878,fixed-fixed,Acrylic,36450739.19,137962997.89859277
1.238776541,105000000000.0,1217.93858,0.090955843,fixed-fixed,Epoxy,53203815.15,446945363.8083198
0.792864482,71772508520.0,46256.062681386255,1.5,free-free,Epoxy,5116003.885,107654699.63736127
1.583678173,175000000000.0,3579.684406,0.178454801,fixed-free,Acrylic,38808178.1,555190803.2168493
0.921158544,78495097033.0,7050.507749,0.095459083,free-free,Silicone,5127768.545,229922246.40954396
0.53647395,163000000000.0,4312.469347,0.046978277,free-free,Polyurethane,10158608.06,395236289.5704245
1.468208444,87832590365.0,7777.353995,0.079874277,free-free,Silicone,8290492.571,224252752.8354805
0.765666019,75395116441.0,2298.67861,0.088684653,fixed-fixed,Polyurethane,12556679.63,311074910.124437
1.910687877,92541330336.0,7080.362176,0.1672322,fixed-fixed,Epoxy,12486768.71,424153953.79800856
1.930892866,60282561054.0,6436.17797,0.149386732,fixed-free,Silicone,9042800.45,117835261.7771343
1.872296585,150000000000.0,6396.452913,0.15616793,fixed-free,Polyurethane,21883667.61,625991221.8953419
1.05523805,101000000000.0,6913.482597,0.01209594,free-free,Acrylic,7673767.701,224466427.95294428
0.523184925,46450216902.0,6327.167937,0.08906926,free-free,Epoxy,1920435.516,191932484.65779653
1.892477844,180000000000.0,5383.542251,0.101455389,free-free,Acrylic,31622923.71,658791572.0381256
1.142276222,76784405362.0,1918.714144,0.013646533,fixed-free,Epoxy,22856292.61,236682776.97286555
1.949982229,109000000000.0,1227.683256,0.05936451,fixed-fixed,Silicone,86338585.21,433414901.186286
1.945429966,181000000000.0,7445.934935,0.154455066,fixed-fixed,Silicone,23683999.28,709932333.2329097
1.779514183,125000000000.0,5316.552202,0.036050844,free-free,Epoxy,20894550.39,373730387.6439624
0.941673338,23388439161.0,6575.761037,0.111708925,free-free,Epoxy,1674913.241,99440930.01008557
1.077646593,188000000000.0,4370.656461,0.050888356,free-free,Epoxy,23172830.92,554908527.3114312
1.776705007,126000000000.0,1821.157323,0.012302947,free-free,Silicone,61240411.68,263282565.8860079
0.975383008,66987773875.0,1876.300545,0.055828277,fixed-free,Polyurethane,17411664.53,306662322.9371736
0.75423912,27863021812.0,5798.957011,0.195416013,fixed-fixed,Acrylic,1812372.253,94360376.26158431
1.335201894,159000000000.0,4012.141264,0.162292051,free-free,Acrylic,26424935.3,634776409.9592775
,124000000000.0,2403.673087,0.192319562,fixed-free,Silicone,49125001.08,451712011.9449369
1.544044695,107000000000.0,4441.161827,0.102692268,free-free,Acrylic,18547529.88,322060479.17619634
1.355091755,179000000000.0,1449.46256,0.030849878,free-free,Epoxy,83569935.17,866760682.160428
0.645764741,158000000000.0,5073.799813,0.114112303,fixed-fixed,Polyurethane,10037081.5,494298057.3239932
1.42251084,30343459198.0,2882.953831,0.096331694,free-free,Acrylic,7485992.069,57642922.41679375
1.985080775,62351296338.0,6582.913704,0.170427846,fixed-fixed,Polyurethane,9401281.319,233591950.10138685
0.710126023,49705343071.0,3172.533712,0.02863569,fixed-fixed,Epoxy,5563038.583,155787049.2915173
1.277494479,149000000000.0,4186.541044,0.102765816,fixed-fixed,Acrylic,22701588.02,287359352.03112805
1.816059608,,1081.343779,0.038509246,fixed-free,Silicone,5639752.267,
1.611152927,114000000000.0,1507.128215,0.071688426,fixed-free,Polyurethane,60924724.7,214679553.72308925
1.545523611,152000000000.0,3747.454895,0.150097845,fixed-fixed,Epoxy,31445694.72,207730570.9500564
1.553726126,175000000000.0,4359.571843,0.100443445,free-free,Polyurethane,31247754.58,194772600.154776
1.039236727,68422928926.0,5200.143837,0.081418774,fixed-fixed,Acrylic,6837271.701,264625409.3763268
0.940387766,164000000000.0,3041.638051,0.084950493,free-free,Acrylic,25391395.14,667927470.6856978
1.714041733,22135241074.0,5864.873203,0.097294886,fixed-fixed,Silicone,3234752.404,35047704.74095261
1.715170092,169000000000.0,7020.85678,0.159153143,free-free,Epoxy,20678864.69,209183152.70172802
1.800608478,25506457580.0,6458.956922,0.179496091,fixed-free,Epoxy,3555594.791,80955596.05172479
1.869860829,79463485239.0,1277.331777,,free-free,Silicone,58162798.88,386743048.76495194
1.267013598,159000000000.0,4363.548631,0.159511643,fixed-fixed,Silicone,23150928.55,717565496.9864957
1.252274442,29991986295.0,1734.511249,0.06992731,fixed-free,Epoxy,10826875.58,99778456.67269418
